#{"t_start": 1776884807.642975, "env_id": "None"}
r,l,t
-46.70831,1000,116.288527
-41.818222,1000,116.288527
-46.26854,1000,116.288527
-52.02928,1000,116.288527
-38.181892,1000,116.288527
-57.446587,1000,116.288527
-43.661972,1000,116.288527
-46.70841,1000,116.288527
-64.412384,1000,260.67916
-63.276516,1000,260.67916
-44.05583,1000,260.67916
-63.695946,1000,260.67916
-62.263756,1000,260.67916
-59.70665,1000,260.67916
-65.277336,1000,260.67916
-54.37235,1000,260.67916
-65.94383,1000,429.609306
-73.85567,1000,429.609306
-72.97243,1000,429.611315
-58.158783,1000,429.611315
-62.068607,1000,429.611315
-64.285286,1000,429.611315
-66.04894,1000,429.611315
-52.991203,1000,429.611315
-63.332993,1000,647.918541
-62.328453,1000,647.918541
-64.028435,1000,647.918541
-70.29651,1000,647.918541
-64.6639,1000,647.918541
-69.23029,1000,647.918541
-63.332928,1000,647.918541
-70.39422,1000,647.918541
-67.4263,1000,783.272773
-56.521534,1000,783.272773
-49.0445,1000,783.273773
-160.18855,1000,783.273773
-67.39092,1000,783.273773
-53.404877,1000,783.273773
-68.45385,1000,783.273773
-58.90386,1000,783.273773
-42.965843,1000,915.2708
-63.503338,1000,915.2708
-44.25091,1000,915.2708
-61.83177,1000,915.2708
-55.41385,1000,915.2708
-61.130474,1000,915.2708
-58.801273,1000,915.2708
-58.823284,1000,915.2708
-61.403236,1000,1112.446378
-55.128036,1000,1112.446378
-33.579247,1000,1112.446378
-57.09545,1000,1112.446378
-59.18344,1000,1112.446378
-54.703495,1000,1112.446378
-40.298435,1000,1112.446378
-46.843536,1000,1112.446378
-64.85589,1000,1244.57666
-49.640213,1000,1244.57666
-64.17878,1000,1244.57666
-55.555317,1000,1244.57666
-54.022858,1000,1244.57666
-33.333282,1000,1244.57666
-42.029083,1000,1244.57666
-40.39728,1000,1244.57666
-43.820152,1000,1379.336108
-29.367989,1000,1379.336108
-28.57137,1000,1379.336108
28.52756,1000,1379.336108
-34.853523,1000,1379.336108
-37.499966,1000,1379.336108
19.69204,1000,1379.336108
21.108236,1000,1379.336108
-35.48379,1000,1579.130415
-31.972729,1000,1579.131413
-37.08628,1000,1579.131413
-39.393898,1000,1579.131413
-31.654692,1000,1579.131413
-31.654585,1000,1579.131413
-29.82448,1000,1579.131413
-27.27255,1000,1579.131413
33.33425,1000,1714.394842
-59.55859,1000,1714.394842
-54.063465,1000,1714.394842
-35.275276,1000,1714.394842
-61.65159,1000,1714.394842
-29.368004,1000,1714.394842
15.512259,1000,1714.394842
3.9428582,1000,1714.394842
-34.37523,1000,1847.864589
-28.813774,1000,1847.864589
-29.765984,1000,1847.864589
-26.174566,1000,1847.864589
-30.599628,1000,1847.864589
-29.577366,1000,1847.864589
-38.838062,1000,1847.864589
-30.463839,1000,1847.864589
31.03424,1000,2046.112925
61.491222,1000,2046.112925
-22.807272,1000,2046.112925
-25.926165,1000,2046.112925
-30.513742,1000,2046.112925
-22.034132,1000,2046.112925
-23.913189,1000,2046.112925
71.7564,1000,2046.112925
-22.297102,1000,2176.321326
79.04051,1000,2176.321326
128.84096,1000,2176.321326
-22.558693,1000,2176.321326
54.110718,1000,2176.321326
-29.448116,1000,2176.321326
-19.860357,1000,2176.322327
-19.462866,1000,2176.322327
-14.75385,1000,2311.968839
191.8136,1000,2311.968839
285.54007,1000,2311.968839
64.23472,1000,2311.968839
-14.893218,1000,2311.968839
-31.232054,1000,2311.968839
-16.666254,1000,2311.968839
-26.605589,1000,2311.968839
141.51024,1000,2501.291521
343.65884,1000,2501.291521
267.211,1000,2501.291521
-23.357353,1000,2501.291521
62.545395,1000,2501.291521
42.349983,1000,2501.291521
49.153732,1000,2501.291521
340.27106,1000,2501.291521
-30.8175,1000,2635.684515
-28.792461,1000,2635.684515
-26.910088,1000,2635.684515
-13.461074,1000,2635.684515
64.4749,1000,2635.684515
394.37933,1000,2635.684515
329.62646,1000,2635.684515
254.16447,1000,2635.684515
374.26236,1000,2767.452891
-21.50138,1000,2767.452891
-6.4741883,1000,2767.452891
-13.857234,1000,2767.452891
-26.983917,1000,2767.452891
-22.296995,1000,2767.452891
193.25198,1000,2767.452891
-21.232557,1000,2767.452891
34.94928,1000,2958.186324
258.15414,1000,2958.186324
232.18991,1000,2958.186324
37.585045,1000,2958.186324
-21.383358,1000,2958.186324
69.67631,1000,2958.186324
333.6552,1000,2958.186324
172.41116,1000,2958.186324
233.33005,1000,3093.279831
72.84024,1000,3093.279831
186.5643,1000,3093.279831
284.10364,1000,3093.279831
425.6887,1000,3093.279831
44.172974,1000,3093.279831
285.45242,1000,3093.279831
379.01816,1000,3093.279831
307.7653,1000,3230.128995
47.633507,1000,3230.128995
338.16006,1000,3230.128995
283.60486,1000,3230.128995
302.72845,1000,3230.128995
351.997,1000,3230.128995
372.3225,1000,3230.128995
335.24933,1000,3230.128995
437.9027,1000,3393.502084
494.97852,1000,3393.502084
455.96802,1000,3393.502084
22.808098,1000,3393.502084
462.0881,1000,3393.502084
421.73685,1000,3393.502084
479.13434,1000,3393.502084
169.1,1000,3393.502084
335.60294,1000,3530.744014
187.49753,1000,3530.744014
306.6639,1000,3530.744014
301.57187,1000,3530.744014
138.52968,1000,3530.744014
416.2415,1000,3530.744014
293.61453,1000,3530.744014
353.48566,1000,3530.744014
59.53437,1000,3667.492311
234.41425,1000,3667.492311
232.2255,1000,3667.492311
150.84813,1000,3667.492311
149.99937,1000,3667.492311
203.51324,1000,3667.492311
65.01769,1000,3667.492311
-26.174278,1000,3667.492311
217.16418,1000,3816.86218
52.092407,1000,3816.86218
-11.764459,1000,3816.86218
177.95517,1000,3816.86218
184.09148,1000,3816.86218
63.569984,1000,3816.86218
-14.012301,1000,3816.86218
97.081604,1000,3816.86218
