#{"t_start": 1777041532.233336, "env_id": "CarRacing-v3"}
r,l,t
-49.090909,1000,115.725758
-59.119497,1000,241.740643
-55.172414,1000,367.289615
-32.862191,1000,519.098529
-23.913043,1000,642.956468
-36.305732,1000,766.28033
-28.571429,1000,932.142596
60.91954,1000,1055.989557
-28.338762,1000,1176.3526
-13.669065,1000,1350.857398
-5.60472,1000,1472.10558
82.9653,1000,1595.409304
262.537764,1000,1759.834569
60.958904,1000,1883.32923
173.049645,1000,2008.507999
69.611307,1000,2194.286195
84.210526,1000,2325.095606
179.365079,1000,2450.255183
183.018868,1000,2643.48579
741.897233,1000,2773.036902
248.122867,1000,2901.526744
259.477124,1000,3055.754429
-35.779817,1000,3179.536028
400.0,1000,3304.450202
343.181818,1000,3429.817639
413.409962,1000,3618.949442
835.849057,1000,3743.337716
446.391753,1000,3867.741695
413.677812,1000,4058.014465
586.567164,1000,4182.225566
537.223975,1000,4306.932102
855.390335,1000,4501.544346
765.771812,1000,4630.456712
769.281046,1000,4757.644875
629.824561,1000,4946.557806
296.296296,1000,5072.505419
538.436482,1000,5198.671171
195.857988,1000,5387.550649
756.115108,1000,5514.104328
718.181818,1000,5640.898276
693.442623,1000,5831.514327
749.122807,1000,5957.135169
735.125448,1000,6063.510031
789.73384,1000,6254.667073
372.205431,870,6369.960835
775.516981,793,6477.617436
541.577061,1000,6602.903653
239.326578,528,6722.555711
486.572438,1000,6850.938016
221.678322,1000,6980.051104
526.229508,1000,7137.942544
312.580428,707,7219.880569
860.431655,1000,7345.442171
934.3,657,7421.330191
217.610063,1000,7589.830757
201.745455,729,7692.010111
571.875,1000,7798.783246
713.868613,1000,7988.711478
474.712644,1000,8114.184076
870.695971,1000,8240.540544
102.702703,1000,8367.021183
862.457338,1000,8553.533463
869.348659,1000,8685.770417
909.5,905,8808.555744
913.6,864,8982.470156
295.189003,1000,9114.04743
388.372093,1000,9245.649617
797.689769,1000,9441.219935
689.644013,1000,9552.102803
869.178082,1000,9683.934969
757.627119,1000,9882.856989
872.868217,1000,10015.237438
915.0,850,10134.673018
924.9,751,10224.533638
883.108108,1000,10420.885796
788.157895,1000,10553.819423
902.2,978,10685.588757
893.333333,1000,10884.195114
872.60274,1000,11018.29095
885.074627,1000,11158.988529
444.692737,1000,11353.818662
883.050847,1000,11480.601789
521.359223,1000,11608.144362
414.563107,1000,11798.109615
108.609272,1000,11925.629081
312.162162,1000,12051.567856
58.249158,1000,12241.08259
268.600683,1000,12367.919073
583.168317,1000,12494.222311
828.104575,1000,12685.59066
515.384615,1000,12814.458133
926.1,739,12898.489345
893.920973,1000,13028.798848
917.3,827,13206.245753
868.309859,1000,13337.697199
882.45614,1000,13465.97117
888.235294,1000,13635.363142
893.079585,1000,13762.432957
924.6,754,13866.518026
886.666667,1000,14056.842705
593.641618,1000,14183.487474
773.082313,828,14275.338452
702.985075,1000,14401.416126
893.377483,1000,14583.134815
860.526316,1000,14709.576354
688.590604,1000,14835.890923
875.438596,1000,15025.955547
562.5,1000,15151.992475
863.898917,1000,15278.854532
874.545455,1000,15467.455893
891.071429,1000,15593.436436
924.0,760,15678.837237
859.59596,1000,15859.81579
873.063973,1000,15990.878631
916.1,839,16109.258272
877.124183,1000,16240.597767
927.7,723,16389.411308
665.625,1000,16517.529952
884.375,1000,16644.766404
578.233438,1000,16836.411466
675.280899,1000,16964.238938
819.298246,1000,17091.499597
910.8,892,17271.897448
846.996466,1000,17398.742209
858.041958,1000,17526.770327
860.39604,1000,17725.601481
902.6,974,17853.967593
871.428571,1000,17980.087031
875.0,1000,18110.045904
