#{"t_start": 1776884807.4923625, "env_id": "CarRacing-v3"}
r,l,t
-46.708464,1000,116.20524
-64.412811,1000,260.580615
-65.944272,1000,429.459807
-63.333333,1000,647.845955
-67.42671,1000,783.213997
-42.965779,1000,915.205004
-61.403509,1000,1112.362942
-64.85623,1000,1244.504125
-43.820225,1000,1379.256589
-35.483871,1000,1578.863116
33.333333,1000,1714.32882
-34.375,1000,1847.799181
31.034483,1000,2046.039359
-22.297297,1000,2176.248812
-14.754098,1000,2311.890959
141.509434,1000,2501.204547
-30.81761,1000,2635.604403
374.264706,1000,2767.33381
34.948097,1000,2958.109819
233.333333,1000,3093.070696
307.76699,1000,3230.016923
437.906137,1000,3393.424299
335.606061,1000,3530.668553
59.533074,1000,3667.40345
217.164179,1000,3816.65013
