#{"t_start": 1776890035.0804162, "env_id": "CarRacing-v3"}
r,l,t
-52.02952,1000,82.183331
-57.09571,1000,212.97257
-33.054393,1000,344.158128
-60.39604,1000,538.298101
-53.068592,1000,670.804773
-58.015267,1000,800.718235
-47.194719,1000,987.441303
-55.555556,1000,1119.992984
-40.438871,1000,1267.59879
-39.393939,1000,1457.788878
-41.747573,1000,1589.095857
-53.020134,1000,1723.392995
-36.026936,1000,1961.272366
-29.292929,1000,2125.487272
60.583942,1000,2304.247755
-27.007299,1000,2543.589335
-19.871795,1000,2710.803651
-17.602996,1000,2873.391737
34.228188,1000,3094.408568
-30.463576,1000,3258.315237
-27.868852,1000,3424.160215
-59.110526,750,3560.836834
277.952756,1000,3769.642121
245.762712,1000,3930.30983
184.345048,1000,4091.957493
