#{"t_start": 1776897569.8734071, "env_id": "CarRacing-v3"}
r,l,t
-40.140845,1000,150.73114
-51.388889,1000,308.202739
-19.753086,1000,464.153733
-30.0,1000,684.999044
-43.217666,1000,834.807003
-28.838951,1000,984.394699
15.671642,1000,1163.570971
-38.405797,1000,1318.397288
8.108108,1000,1469.231934
-29.824561,1000,1659.110501
15.511551,1000,1810.959635
-35.779817,1000,1961.664818
-23.913043,1000,2151.731571
-19.860627,1000,2304.240986
-23.611111,1000,2455.900551
49.152542,1000,2663.135291
325.925926,1000,2817.103594
275.366569,1000,2972.488302
369.255663,1000,3171.648158
285.454545,1000,3325.697649
571.586716,1000,3481.359061
590.647482,1000,3647.503567
595.035461,1000,3801.06897
-20.583168,890,3943.497394
441.401274,1000,4096.549655
