#{"t_start": 1777066527.1068177, "env_id": "CarRacing-v3"}
r,l,t
-34.545455,1000,139.417726
-52.830189,1000,286.49838
-58.62069,1000,433.463405
-57.597173,1000,666.22102
-63.768116,1000,833.988693
-64.968153,1000,1023.376375
-59.183673,1000,1299.972476
-142.222989,883,1466.480761
-57.654723,1000,1655.179185
-56.834532,1000,1931.949325
-52.80236,1000,2117.920308
-58.990536,1000,2307.923223
-45.619335,1000,2543.677697
-55.479452,1000,2714.650754
-32.624113,1000,2889.29756
51.943463,1000,3106.773254
64.473684,1000,3262.892152
-112.85873,828,3426.073297
-27.672956,1000,3606.503001
-9.090909,1000,3831.698098
299.317406,1000,4012.89269
390.196078,1000,4183.767085
65.137615,1000,4432.448198
215.789474,1000,4604.306746
250.930303,772,4722.119094
681.609195,1000,4972.089473
220.754717,1000,5142.456065
209.506873,686,5274.308458
63.642553,705,5386.155618
537.180597,868,5620.946128
710.725552,1000,5791.685745
688.104089,1000,5961.002343
698.657718,1000,6176.786391
628.75817,1000,6348.647607
570.175439,1000,6520.557211
762.962963,1000,6777.569253
212.703583,1000,6963.292487
476.923077,1000,7152.289157
619.42446,1000,7414.937757
809.090909,1000,7587.67283
460.655738,1000,7763.77387
608.77193,1000,8029.085244
100.716846,1000,8202.804615
124.334601,1000,8379.06613
631.629393,1000,8565.323189
905.9,941,8833.927084
824.731183,1000,9026.487145
227.048837,684,9145.141653
677.385159,1000,9375.924489
833.566434,1000,9511.599651
595.081967,1000,9651.338015
86.544343,1000,9850.320943
892.805755,1000,9977.552797
859.51417,1000,10104.99946
846.540881,1000,10295.523158
740.0,1000,10421.363348
353.125,1000,10547.977012
790.510949,1000,10738.740252
67.696552,393,10772.863686
797.435897,1000,10900.240014
6.635135,286,10944.779686
596.282935,888,11061.725444
286.495785,887,11219.442615
416.18961,943,11339.954834
890.0,1000,11466.66022
872.508591,1000,11653.831239
388.372093,1000,11780.025657
186.935314,663,11858.177041
660.517799,1000,11984.751072
581.506849,1000,12175.905557
879.661017,1000,12302.850118
419.379845,1000,12428.83453
771.621622,1000,12619.469368
861.267606,1000,12746.296765
403.378378,1000,12873.169144
728.947368,1000,13062.919097
160.273973,1000,13189.769032
740.0,1000,13318.047078
502.739726,1000,13510.585582
373.880597,1000,13639.093205
299.441341,1000,13767.148068
198.305085,1000,13956.71685
307.76699,1000,14082.831704
304.530744,1000,14211.962985
472.847682,1000,14401.698822
386.486486,1000,14509.422827
115.488215,1000,14636.957677
524.573379,1000,14827.769153
404.950495,1000,14954.66674
586.27451,1000,15082.911443
735.664336,1000,15210.267713
652.727273,1000,15402.28389
687.234043,1000,15532.202217
353.968254,1000,15659.719353
459.859155,1000,15849.209567
833.333333,1000,15977.960268
547.058824,1000,16104.739573
630.103806,1000,16293.924668
338.575969,654,16370.018118
870.0,1000,16498.03804
179.171676,822,16672.234766
410.204082,1000,16799.040033
610.447761,1000,16925.736441
343.708609,1000,17052.966119
534.868421,1000,17245.965981
480.536913,1000,17372.870308
399.591228,970,17477.109672
515.625,1000,17661.95681
737.545126,1000,17789.662534
605.454545,1000,17918.321024
382.142857,1000,18110.213407
563.461538,1000,18237.095435
677.777778,1000,18364.14826
802.356902,1000,18556.122862
841.391941,1000,18683.300953
870.588235,1000,18810.089722
667.676768,1000,18992.184676
790.625,1000,19120.524468
459.375,1000,19246.661373
571.92429,1000,19438.447908
529.213483,1000,19567.113429
889.473684,1000,19713.383255
927.3,727,19811.587471
875.265018,1000,20017.564954
571.328671,1000,20153.217909
381.848185,1000,20287.665686
882.993197,1000,20484.981278
920.3,797,20594.682772
885.714286,1000,20703.540549
219.86532,1000,20893.707931
